Mission Subphase,Sol,Centroid Longitude,Centroid Latitude,Area,Maximum Latitude,Minimum Latitude,Confidence Interval,Horizontal Distance,Vertical Distance
B03,9,141.35,-35.15,1558411.1,-23.45,-44.55,75,1238.3272127979808,1248.2324284229383
B03,9,-151.85,-31.05,4381583.0,1.05,-53.35,75,1349.5531845865028,3218.1916638013204
B03,10,109.55,-36.65,471741.91,-30.95,-43.35,75,648.5795543736497,733.5583939547126
B03,10,-17.55,-22.95,170050.31,-18.85,-27.35,100,338.86524917877483,502.84244746895627
B03,10,14.15,-40.55,189272.44,-34.65,-48.75,75,231.50642385511182,834.126883448504
B03,10,72.45,-47.35,1377480.0,-32.45,-58.95,50,860.0257724415358,1567.685277403217
B03,10,-178.85,-28.25,13128424.0,7.25001,-51.05,75,3774.691816056757,3448.9082018664267
B03,10,-37.75,-28.35,5751953.5,2.15,-54.15,50,1761.012935335745,3330.591740294381
B03,11,137.75,-38.45,969450.5,-29.95,-49.95,75,841.3247054043636,1183.1586999269562
B03,11,32.95,-40.45,962089.25,-33.85,-46.65,75,1269.427696800009,757.2215679532518
B03,11,7.05,-46.45,351749.03,-40.55,-50.85,50,570.2497762059282,609.3267304623828
B03,11,-175.05,-34.05,5819145.0,-6.24999,-51.05,75,2126.8033502787557,2650.2760794157316
B03,11,-37.45,-22.85,7129434.5,3.95,-48.15,50,2381.8773725700817,3082.1284133097206
B03,12,103.35,-37.35,720544.62,-27.85,-48.55,75,598.4602406457069,1224.569254424399
B03,12,36.15,-37.35,1237616.6,-30.35,-47.45,75,1254.3290009759648,1011.6006884375477
B03,12,20.15,-47.55,370913.16,-42.15,-53.05,50,576.6370355482247,644.8214914601908
B03,12,-161.65,-31.05,12101496.0,10.25,-55.75,75,3044.9259499207956,3904.423709758955
B03,12,-42.75,-25.45,7525760.0,-0.549995,-47.05,50,2775.467614761518,2750.844273119848
B03,13,100.25,-33.75,714024.12,-24.05,-45.15,75,581.0973498828721,1248.2324284229383
B03,13,131.95,-38.75,355697.53,-33.45,-44.55,75,544.4423814607463,656.65307845946
B03,13,56.05,-39.55,794107.25,-30.75,-48.75,50,750.9956827740841,1064.8428299342604
B03,13,-25.85,-24.85,5667882.5,-1.24999,-48.35,50,2091.74871642841,2786.3393299073314
B03,13,-133.85,-33.05,12230934.0,-1.85,-53.15,75,3938.673966773726,3034.8020653126423
B03,14,61.75,-34.05,618031.25,-25.75,-41.65,75,656.4682245132816,940.6111664419299
B03,14,-148.15,32.55,248252.05,38.05,28.45,100,441.11247241035534,567.9161759649389
B03,14,141.45,-39.35,642017.44,-29.05,-46.25,50,618.5663655725971,1017.5164819371821
B03,14,164.25,-22.15,1217915.0,1.05,-38.75,75,516.5742432668129,2354.4858128546425
B03,14,-173.45,-31.75,434421.66,-18.25,-41.45,75,312.4605677143189,1372.4640919152691
B03,14,34.25,-47.65,98710.547,-39.85,-51.65,75,136.75732453672632,698.0636329569039
B03,14,-96.35,-39.85,8309213.5,-16.45,-59.15,75,3271.2184567305935,2526.043824344051
B03,14,-7.45,-28.05,3803135.5,-8.45,-53.15,50,1515.8350186079701,2644.359694336747
B03,15,168.65,-20.45,1876902.1,0.0500031,-40.65,75,795.3926326521874,2407.7281377409536
B03,15,-144.35,33.85,390821.16,40.35,28.15,75,545.0984194399022,721.7268069554434
B03,15,-167.25,-37.75,332266.16,-32.85,-42.75,75,568.4234855095415,585.663556463843
B03,15,-72.45,-39.25,6748863.5,-19.05,-55.15,50,3119.6277704261624,2135.601453368155
B03,16,-18.85,-49.25,362351.88,-44.45,-53.75,50,657.3480482398413,550.1687954660346
B03,16,-33.05,-26.95,8334553.0,-2.64999,-56.45,50,2784.532663497247,3182.697494382862
B03,17,49.75,-38.85,726453.19,-30.35,-50.65,75,622.7988995808889,1200.9060804258602
B03,20,131.45,28.35,115032.2,32.25,24.65,100,256.2837695698419,449.6003059722432
B03,20,57.95,-33.25,65256.875,-30.95,-35.25,75,256.15534705378695,254.37912048429553
B03,21,61.55,-33.45,131346.28,-29.95,-36.85,50,321.78664250823545,408.1897514748
B03,21,-168.25,-44.55,69570.938,-41.35,-48.15,50,173.64345715988662,402.2739579751648
B03,21,41.35,-50.25,135946.75,-44.65,-54.95,50,221.32725312722732,609.3267304623824
B03,22,45.55,-48.85,263571.34,-43.65,-53.55,50,448.36475884684256,585.663556463843
B03,22,-141.35,-45.85,145199.11,-42.55,-47.85,50,457.94337068358584,313.5370554806434
B03,22,-169.25,-44.75,146983.19,-40.95,-48.75,50,319.3362274232387,461.43189297151275
B03,23,-100.85,-19.85,380193.94,-13.45,-27.15,100,471.5776883728854,810.4637094499649
B03,24,1.55,-46.15,43424.871,-41.55,-50.35,75,83.19500006252157,520.589827967861
B03,25,-137.25,-45.75,128753.88,-42.35,-48.55,100,349.33768517208586,366.7791969773561
B03,25,-82.75,-46.65,357284.06,-42.15,-51.45,100,651.9317546011117,550.1687954660349
B03,27,-112.95,-10.65,149619.38,-6.35,-16.25,75,256.3512940403983,585.6635564638433
B03,28,-1.64999,-45.15,1319532.6,-36.95,-52.05,75,1464.841821153564,893.2848184448516
B03,28,-100.85,-38.05,93717.789,-34.45,-41.65,100,220.17211979621126,425.937131973704
B03,28,-112.05,-13.05,222852.3,-7.55,-18.45,75,346.05493865434744,644.821491460191
B03,29,-81.65,-40.15,134596.03,-36.55,-42.95,100,353.6107481272214,378.61078397662646
B03,29,-6.34999,-37.55,1173429.1,-24.05,-48.75,75,797.1720768872409,1461.2009944097906
B03,29,32.65,-47.05,1158728.2,-34.45,-55.75,50,892.7781715271174,1260.064015422208
B03,29,175.85,-43.55,1409897.8,-32.25,-55.35,75,1043.0792838941961,1366.5482984156347
B03,30,-81.85,-16.35,868860.0,-7.05,-25.65,100,793.1083908548687,1100.337590932069
B03,30,48.55,-41.65,865892.31,-31.95,-51.45,100,754.8344182565355,1153.5797324287826
B03,30,-49.95,-43.25,1146356.0,-32.15,-51.05,75,1003.1913736569003,1118.0849714309734
B03,30,-166.55,-42.25,1299813.8,-30.15,-55.35,75,886.0263199807538,1490.7799619079647
B03,31,-123.65,-43.65,1617883.4,-35.55,-53.15,75,1578.5354490312707,1041.1796559357217
B03,31,-43.05,-41.85,2677345.2,-22.65,-55.35,50,1344.7631109445692,1934.4644743805732
B03,31,-78.75,-27.85,178098.48,-21.85,-34.75,75,234.85215437561698,763.1373614528866
B03,31,158.65,-33.45,1194540.1,-19.55,-44.35,75,806.9223202316509,1467.1167879094255
B03,31,85.65,-51.25,143222.86,-47.35,-54.95,75,318.0983607318857,449.6003059722435
