filename,date,lat_min,lat_max,lon_min,lon_max
possible_detections_J/mrom_0830_J03_045904_1513_MA_00N342W_2016-05-12_-44to-26_9to30.tif,2016-05-12,-44,-26,9,30
possible_detections_J/mrom_0886_J07_047501_2223_MA_00N023W_2016-09-13_-11to52_328to349.tif,2016-09-13,-11,52,328,349
possible_detections_J/mrom_0921_J12_049377_3129_MA_00N125W_2017-02-06_29to47_226to247.tif,2017-02-06,29,47,226,247
possible_detections_J/mrom_0822_J02_045626_1403_MA_00N312W_2016-04-20_-46to-29_39to60.tif,2016-04-20,-46,-29,39,60
possible_detections_J/mrom_0919_J11_049262_3077_MA_00N226W_2017-01-28_35to58_125to146.tif,2017-01-28,35,58,125,146
possible_detections_J/mrom_0893_J08_047929_2433_MA_00N190W_2016-10-17_25to59_161to182.tif,2016-10-17,25,59,161,182
possible_detections_J/mrom_0836_J03_046075_1582_MA_00N331W_2016-05-25_-55to-19_20to41.tif,2016-05-25,-55,-19,20,41
possible_detections_J/mrom_0915_J11_049016_2963_MA_00N350W_2017-01-09_31to49_1to22.tif,2017-01-09,31,49,1,22
possible_detections_J/mrom_0934_J14_050277_3512_MA_00N215W_2017-04-18_36to61_136to157.tif,2017-04-18,36,61,136,157
possible_detections_J/mrom_0820_J02_045545_1372_MA_00N260W_2016-04-14_-49to-21_91to112.tif,2016-04-14,-49,-21,91,112
possible_detections_J/mrom_0923_J12_049571_3215_MA_00N021W_2017-02-22_26to42_330to351.tif,2017-02-22,26,42,330,351
possible_detections_J/mrom_0919_J11_049284_3087_MA_00N106W_2017-01-30_25to40_245to266.tif,2017-01-30,25,40,245,266
possible_detections_J/mrom_0857_J05_046591_1801_MA_00N019W_2016-07-04_-56to-17_332to353.tif,2016-07-04,-56,-17,332,353
possible_detections_J/mrom_0933_J14_050198_3480_MA_00N218W_2017-04-11_43to56_133to154.tif,2017-04-11,43,56,133,154
possible_detections_J/mrom_0886_J07_047506_2225_MA_00N160W_2016-09-14_1to35_191to212.tif,2016-09-14,1,35,191,212
possible_detections_J/mrom_0849_J04_046390_1714_MA_00N291W_2016-06-19_-53to-12_60to81.tif,2016-06-19,-53,-12,60,81
possible_detections_J/mrom_0828_J03_045846_1490_MA_00N199W_2016-05-07_-53to-28_152to173.tif,2016-05-07,-53,-28,152,173
possible_detections_J/mrom_0920_J12_049310_3099_MA_00N096W_2017-02-01_37to63_255to276.tif,2017-02-01,37,63,255,276
possible_detections_J/mrom_0837_J03_046096_1591_MA_00N184W_2016-05-27_-37to-17_167to188.tif,2016-05-27,-37,-17,167,188
possible_detections_J/mrom_0918_J11_049220_3057_MA_00N159W_2017-01-25_-39to1_192to213.tif,2017-01-25,-39,1,192,213
possible_detections_J/mrom_0834_J03_046005_1554_MA_00N220W_2016-05-20_-52to-34_131to152.tif,2016-05-20,-52,-34,131,152
possible_detections_J/mrom_0917_J11_049114_3008_MA_00N145W_2017-01-17_1to23_206to227.tif,2017-01-17,1,23,206,227
possible_detections_J/mrom_0876_J06_047175_2067_MA_00N123W_2016-08-19_12to33_228to249.tif,2016-08-19,12,33,228,249
possible_detections_J/mrom_0915_J11_049008_2959_MA_00N131W_2017-01-09_28to56_220to241.tif,2017-01-09,28,56,220,241
possible_detections_J/mrom_0828_J03_045851_1492_MA_00N335W_2016-05-08_-52to-30_16to37.tif,2016-05-08,-52,-30,16,37
possible_detections_J/mrom_0870_J06_046973_1973_MA_00N008W_2016-08-03_-60to-40_343to364.tif,2016-08-03,-60,-40,343,364
possible_detections_J/mrom_0918_J11_049167_3033_MA_00N152W_2017-01-21_27to58_199to220.tif,2017-01-21,27,58,199,220
possible_detections_J/mrom_0829_J03_045869_1499_MA_00N107W_2016-05-09_-40to5_244to265.tif,2016-05-09,-40,5,244,265
